image_path,image_name,video_id,frame_type,recon_error
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-tSSa17_l1g_thumbnail.jpg,-tSSa17_l1g_thumbnail.jpg,-tSSa17_l1g,thumb,0.15863671898841858
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-vYx29peNxQ_end.jpg,-vYx29peNxQ_end.jpg,-vYx29peNxQ,end,0.06194180250167847
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-vYx29peNxQ_mid.jpg,-vYx29peNxQ_mid.jpg,-vYx29peNxQ,mid,0.021241454407572746
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-vYx29peNxQ_start.jpg,-vYx29peNxQ_start.jpg,-vYx29peNxQ,start,0.06547855585813522
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-vYx29peNxQ_thumbnail.jpg,-vYx29peNxQ_thumbnail.jpg,-vYx29peNxQ,thumb,0.044084712862968445
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0-8zm0plxBY_end.jpg,0-8zm0plxBY_end.jpg,0-8zm0plxBY,end,0.2555662989616394
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0-8zm0plxBY_mid.jpg,0-8zm0plxBY_mid.jpg,0-8zm0plxBY,mid,0.10676177591085434
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0-8zm0plxBY_start.jpg,0-8zm0plxBY_start.jpg,0-8zm0plxBY,start,0.08797243237495422
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0-8zm0plxBY_thumbnail.jpg,0-8zm0plxBY_thumbnail.jpg,0-8zm0plxBY,thumb,0.1941981166601181
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0043Nj7RaC8_end.jpg,0043Nj7RaC8_end.jpg,0043Nj7RaC8,end,0.02476830780506134
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0043Nj7RaC8_mid.jpg,0043Nj7RaC8_mid.jpg,0043Nj7RaC8,mid,0.10925149917602539
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0043Nj7RaC8_start.jpg,0043Nj7RaC8_start.jpg,0043Nj7RaC8,start,0.13130594789981842
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0043Nj7RaC8_thumbnail.jpg,0043Nj7RaC8_thumbnail.jpg,0043Nj7RaC8,thumb,0.07052140682935715
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\00FS_ZPu0Fo_end.jpg,00FS_ZPu0Fo_end.jpg,00FS_ZPu0Fo,end,0.03428879380226135
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\00FS_ZPu0Fo_mid.jpg,00FS_ZPu0Fo_mid.jpg,00FS_ZPu0Fo,mid,0.05180538073182106
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\00FS_ZPu0Fo_start.jpg,00FS_ZPu0Fo_start.jpg,00FS_ZPu0Fo,start,0.032539211213588715
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\00FS_ZPu0Fo_thumbnail.jpg,00FS_ZPu0Fo_thumbnail.jpg,00FS_ZPu0Fo,thumb,0.11221598833799362
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\01N_hKV1Gg8_end.jpg,01N_hKV1Gg8_end.jpg,01N_hKV1Gg8,end,0.11587367206811905
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\01N_hKV1Gg8_mid.jpg,01N_hKV1Gg8_mid.jpg,01N_hKV1Gg8,mid,0.038251131772994995
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\01N_hKV1Gg8_start.jpg,01N_hKV1Gg8_start.jpg,01N_hKV1Gg8,start,0.044289857149124146
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\01N_hKV1Gg8_thumbnail.jpg,01N_hKV1Gg8_thumbnail.jpg,01N_hKV1Gg8,thumb,0.09635141491889954
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\047HvbyNG3g_end.jpg,047HvbyNG3g_end.jpg,047HvbyNG3g,end,0.0465988889336586
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\047HvbyNG3g_mid.jpg,047HvbyNG3g_mid.jpg,047HvbyNG3g,mid,0.045949410647153854
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\047HvbyNG3g_start.jpg,047HvbyNG3g_start.jpg,047HvbyNG3g,start,0.06025485321879387
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\047HvbyNG3g_thumbnail.jpg,047HvbyNG3g_thumbnail.jpg,047HvbyNG3g,thumb,0.08635427802801132
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\05A3oll91Hs_end.jpg,05A3oll91Hs_end.jpg,05A3oll91Hs,end,0.07077167928218842
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\05A3oll91Hs_mid.jpg,05A3oll91Hs_mid.jpg,05A3oll91Hs,mid,0.07182201743125916
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\05A3oll91Hs_start.jpg,05A3oll91Hs_start.jpg,05A3oll91Hs,start,0.06686067581176758
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\05A3oll91Hs_thumbnail.jpg,05A3oll91Hs_thumbnail.jpg,05A3oll91Hs,thumb,0.07782474905252457
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\05aPy030VQE_end.jpg,05aPy030VQE_end.jpg,05aPy030VQE,end,0.11474884301424026
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\05aPy030VQE_mid.jpg,05aPy030VQE_mid.jpg,05aPy030VQE,mid,0.02446419559419155
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\05aPy030VQE_start.jpg,05aPy030VQE_start.jpg,05aPy030VQE,start,0.06485346704721451
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\05aPy030VQE_thumbnail.jpg,05aPy030VQE_thumbnail.jpg,05aPy030VQE,thumb,0.10247006267309189
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\08f6vHcRvDg_end.jpg,08f6vHcRvDg_end.jpg,08f6vHcRvDg,end,0.15309056639671326
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\08f6vHcRvDg_mid.jpg,08f6vHcRvDg_mid.jpg,08f6vHcRvDg,mid,0.052437879145145416
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\08f6vHcRvDg_start.jpg,08f6vHcRvDg_start.jpg,08f6vHcRvDg,start,0.04435562342405319
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\08f6vHcRvDg_thumbnail.jpg,08f6vHcRvDg_thumbnail.jpg,08f6vHcRvDg,thumb,0.12643690407276154
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\09txhca2PsQ_end.jpg,09txhca2PsQ_end.jpg,09txhca2PsQ,end,0.03710706904530525
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\09txhca2PsQ_mid.jpg,09txhca2PsQ_mid.jpg,09txhca2PsQ,mid,0.10672091692686081
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\09txhca2PsQ_start.jpg,09txhca2PsQ_start.jpg,09txhca2PsQ,start,0.07837161421775818
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\09txhca2PsQ_thumbnail.jpg,09txhca2PsQ_thumbnail.jpg,09txhca2PsQ,thumb,0.07193471491336823
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0BJiyi85mCc_end.jpg,0BJiyi85mCc_end.jpg,0BJiyi85mCc,end,0.148141011595726
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0BJiyi85mCc_mid.jpg,0BJiyi85mCc_mid.jpg,0BJiyi85mCc,mid,0.055644966661930084
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0BJiyi85mCc_start.jpg,0BJiyi85mCc_start.jpg,0BJiyi85mCc,start,0.10968824476003647
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0BJiyi85mCc_thumbnail.jpg,0BJiyi85mCc_thumbnail.jpg,0BJiyi85mCc,thumb,0.10268719494342804
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0BQcRl59mSg_end.jpg,0BQcRl59mSg_end.jpg,0BQcRl59mSg,end,0.04906715825200081
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0BQcRl59mSg_mid.jpg,0BQcRl59mSg_mid.jpg,0BQcRl59mSg,mid,0.0492996945977211
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0BQcRl59mSg_start.jpg,0BQcRl59mSg_start.jpg,0BQcRl59mSg,start,0.048824213445186615
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0BQcRl59mSg_thumbnail.jpg,0BQcRl59mSg_thumbnail.jpg,0BQcRl59mSg,thumb,0.05188184231519699
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0DahqijkpDM_end.jpg,0DahqijkpDM_end.jpg,0DahqijkpDM,end,0.04683755338191986
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0DahqijkpDM_mid.jpg,0DahqijkpDM_mid.jpg,0DahqijkpDM,mid,0.06615043431520462
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0DahqijkpDM_start.jpg,0DahqijkpDM_start.jpg,0DahqijkpDM,start,0.049067173153162
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0DahqijkpDM_thumbnail.jpg,0DahqijkpDM_thumbnail.jpg,0DahqijkpDM,thumb,0.1296110302209854
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0ElaM5LD5Ao_end.jpg,0ElaM5LD5Ao_end.jpg,0ElaM5LD5Ao,end,0.12804116308689117
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0ElaM5LD5Ao_mid.jpg,0ElaM5LD5Ao_mid.jpg,0ElaM5LD5Ao,mid,0.11108946800231934
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0ElaM5LD5Ao_start.jpg,0ElaM5LD5Ao_start.jpg,0ElaM5LD5Ao,start,0.06314993649721146
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0ElaM5LD5Ao_thumbnail.jpg,0ElaM5LD5Ao_thumbnail.jpg,0ElaM5LD5Ao,thumb,0.0853717029094696
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0JHJqQsGLpE_end.jpg,0JHJqQsGLpE_end.jpg,0JHJqQsGLpE,end,0.11842260509729385
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0JHJqQsGLpE_mid.jpg,0JHJqQsGLpE_mid.jpg,0JHJqQsGLpE,mid,0.11750151962041855
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0JHJqQsGLpE_start.jpg,0JHJqQsGLpE_start.jpg,0JHJqQsGLpE,start,0.11829561740159988
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0JHJqQsGLpE_thumbnail.jpg,0JHJqQsGLpE_thumbnail.jpg,0JHJqQsGLpE,thumb,0.10264137387275696
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0JjKfIgX4nw_end.jpg,0JjKfIgX4nw_end.jpg,0JjKfIgX4nw,end,0.05741826444864273
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0JjKfIgX4nw_mid.jpg,0JjKfIgX4nw_mid.jpg,0JjKfIgX4nw,mid,0.09243876487016678
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0JjKfIgX4nw_start.jpg,0JjKfIgX4nw_start.jpg,0JjKfIgX4nw,start,0.09177561104297638
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0JjKfIgX4nw_thumbnail.jpg,0JjKfIgX4nw_thumbnail.jpg,0JjKfIgX4nw,thumb,0.10884758085012436
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0Jlr-Srk5GA_end.jpg,0Jlr-Srk5GA_end.jpg,0Jlr-Srk5GA,end,0.05559308081865311
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0Jlr-Srk5GA_mid.jpg,0Jlr-Srk5GA_mid.jpg,0Jlr-Srk5GA,mid,0.08065631985664368
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0Jlr-Srk5GA_start.jpg,0Jlr-Srk5GA_start.jpg,0Jlr-Srk5GA,start,0.039023105055093765
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0Jlr-Srk5GA_thumbnail.jpg,0Jlr-Srk5GA_thumbnail.jpg,0Jlr-Srk5GA,thumb,0.02628808096051216
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0N6nsMkNJlc_end.jpg,0N6nsMkNJlc_end.jpg,0N6nsMkNJlc,end,0.13010065257549286
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0N6nsMkNJlc_mid.jpg,0N6nsMkNJlc_mid.jpg,0N6nsMkNJlc,mid,0.08190296590328217
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0N6nsMkNJlc_start.jpg,0N6nsMkNJlc_start.jpg,0N6nsMkNJlc,start,0.07111509144306183
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0N6nsMkNJlc_thumbnail.jpg,0N6nsMkNJlc_thumbnail.jpg,0N6nsMkNJlc,thumb,0.10209023952484131
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\0OOEjsxhVMM_end.jpg,0OOEjsxhVMM_end.jpg,0OOEjsxhVMM,end,0.09564103931188583
